response,subset,term,contrast,bt_estimate,bt_type,bt_conf_low,bt_conf_high,bt_std_error,p_value,statistic,model_name,model_formula,abbr_term,abbr_contrast,abbr_subset,raw_estimate,raw_std_error,raw_conf_low,raw_conf_high
abundance,Native,Grazing treatment,Grazed - Ungrazed,1.985723756352073,log,1.385143333504277,2.8467081645372643,0.22084143459409872,1.8930962277474706e-4,3.7328709190024956,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,nat,0.6859844604558955,0.18376859938119838,0.32580462417937706,1.0461642967324138
abundance,Native,Plot type,WAN - PER,1.610351945931847,log,0.830560282517648,3.122269923509597,0.4735781905402145,0.158423499050244,1.4103935833051113,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),plot_type,w - p,nat,0.47645375506455123,0.3378161675608529,-0.1856537667500685,1.1385612768791709
abundance,Native,Year,2020 - 2019,0.9803330617998449,log,0.6018681939312625,1.5967830195187511,0.3192576633857016,0.9363997814211853,-0.07979565335633107,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y5 - y4,nat,-0.01986190607706713,0.24890962404146122,-0.5077158046037362,0.46799199244960193
abundance,Native,Year,2021 - 2019,1.1561169771820197,log,0.8068737630235263,1.656524881810438,0.22046059783993163,0.42920224466711554,0.7905575191006885,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y4,nat,0.14506795646461504,0.18350082436713705,-0.21458705042838347,0.5047229633576136
abundance,Native,Year,2021 - 2020,1.1793092226666797,log,0.7621083093679125,1.824898410857354,0.27833817188753207,0.45905549358676256,0.7404030089766849,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y5,nat,0.1649298625416828,0.22275687773018815,-0.2716655951180783,0.6015253202014439
abundance,Native,Year,2022 - 2019,1.4593686731350084,log,1.0165470861219008,2.095089301030608,0.22186727337892576,0.040469276841283985,2.048926763458151,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y4,nat,0.3780049265406797,0.18448923274479953,0.01641267482544506,0.7395971782559143
abundance,Native,Year,2022 - 2020,1.4886442890008507,log,0.9598577604680303,2.308739805462726,0.2800865643242467,0.07557083325294855,1.776984237715146,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y5,nat,0.3978668326177415,0.22390003477426473,-0.04096917167708297,0.836702836912566
abundance,Native,Year,2022 - 2021,1.2623006517248803,log,0.915180462064802,1.7410805861721204,0.19332204193058813,0.15568129359976224,1.4197471927483873,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y6,nat,0.2329369700760626,0.1640693295720744,-0.08863300685283562,0.5545069470049608
abundance,Native forb,Grazing treatment,Grazed - Ungrazed,2.238384009088964,log,1.5681765672360273,3.1950247675082566,0.21769840414138208,9.076272493357962e-6,4.438085126740146,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,frb,0.8057551810012049,0.18155469261876162,0.44991452224419226,1.1615958397582176
abundance,Native forb,Plot type,WAN - PER,2.4426824855915887,log,0.5434574241956018,10.979144749466816,1.6508167009461732,0.2441374649940986,1.1647073693114023,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),plot_type,w - p,frb,0.8930978147710092,0.7668001751367179,-0.6098029118359635,2.395998541377982
abundance,Native forb,Year,2020 - 2019,0.9922143674580479,log,0.6048268110530569,1.6277210814713903,0.32511494607426283,0.975313999609253,-0.030944251001681185,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y5 - y4,frb,-0.007815098814820082,0.2525541437210903,-0.5028121246545096,0.48718192702486945
abundance,Native forb,Year,2021 - 2019,1.2394732713707712,log,0.8674390018897895,1.771068613580453,0.21846207505530457,0.23839962484735988,1.178996361058504,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y4,frb,0.21468750821927063,0.18209344431438618,-0.14220908445777608,0.5715841008963174
abundance,Native forb,Year,2021 - 2020,1.2491978271525315,log,0.8071360181417713,1.9333732806959303,0.2784700995552196,0.31805076991095405,0.9984715160430476,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y5,frb,0.22250260703408858,0.22284321931973441,-0.21426207703155115,0.6592672910997284
abundance,Native forb,Year,2022 - 2019,1.6649144252577537,log,1.1629203598007425,2.3836026431821242,0.21986908617723558,0.005363244699352787,2.784366180802751,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y4,frb,0.5097747258699857,0.18308465653142444,0.15093539294650793,0.8686140587934635
abundance,Native forb,Year,2022 - 2020,1.6779768716809538,log,1.0815498569619717,2.603307063259313,0.2803660721467645,0.020898262101784804,2.309817462520071,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y5,frb,0.5175898246848002,0.22408256629945825,0.07839606517455328,0.9567835841950472
abundance,Native forb,Year,2022 - 2021,1.343242164877731,log,0.9783881729634227,1.8441550739931805,0.19008552669927725,0.06802296177130862,1.8248546800754628,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y6,frb,0.2950872176507134,0.16170450221192995,-0.021847782822646766,0.6120222181240735
abundance,Non-native,2y Break,2y Break,0.24890816465444016,sqrt,0.00195812662201509,1.0858987648245697,0.0212830338411762,0.0718153452067769,1.8002869197326068,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_two_yr,t1 - t0,non,0.4989069699397275,0.2771263649539981,-0.04425072453661172,1.0420646644160667
abundance,Non-native,Grazing treatment,Grazed - Ungrazed,3.354634591369291e-5,sqrt,0.09366452473892688,0.0867083193895022,0.0035952169591169578,0.9698409598652111,-0.0378077566725073,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),treatment,Grazed - Ungrazed,non,-0.005791920744769641,0.15319398066750037,-0.3060466055013956,0.29446276401185634
abundance,Non-native,Year,2020 - 2019,2.7136384949606605,sqrt,4.983516746870194,1.1283662377229469,0.02659939629696575,3.419626026790468e-8,-5.518470632536568,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y5 - y4,non,-1.647312506769939,0.2985088834318488,-2.2323791673616276,-1.0622458461782502
abundance,Non-native,Year,2021 - 2019,10.799829006017468,sqrt,14.414037968385623,7.7063772705889395,0.01764670769530918,0,-12.622746942425529,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y6 - y4,non,-3.286309329022067,0.2603481907711116,-3.796582406373609,-2.7760362516705253
abundance,Non-native,Year,2021 - 2020,2.6863105833525744,sqrt,4.8137559471278655,1.1749829599423287,0.022709433696258986,7.1337851181851875e-9,-5.78774439977601,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y6 - y5,non,-1.6389968222521283,0.28318403665434133,-2.1940273350913078,-1.0839663094129488
abundance,Non-native,Year,2022 - 2019,6.655604157328295,sqrt,9.041712660952781,4.634321588482126,0.010347591831724927,0,-11.838971608576593,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y7 - y4,non,-2.5798457623137656,0.2179113057797038,-3.0069440734660797,-2.1527474511614515
abundance,Non-native,Year,2022 - 2020,0.8696182726951421,sqrt,2.1361221893396394,0.1628272901055153,0.01966340606047485,5.503465038709798e-4,-3.4549736999612777,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y7 - y5,non,-0.9325332555438128,0.2699103774810976,-1.4615478744603747,-0.40351863662725085
abundance,Non-native,Year,2022 - 2021,0.49909077108624655,sqrt,0.0484964342292097,1.4225525492493818,0.015269325452500995,0.004404647018231289,2.8476273294879433,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),f_year,y7 - y6,non,0.706463566708324,0.2480884908613935,0.2202190596410985,1.1927080737755495
richness,Native,Grazing treatment,Grazed - Ungrazed,1.561243216959664,none,1.0770570558758474,2.0454293780434805,0.06102791921708603,2.6182922496786887e-10,6.319842908146825,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,nat,1.561243216959664,0.24703829504165145,1.0770570558758474,2.0454293780434805
richness,Native,Year,2020 - 2019,0.23143676427822546,none,-0.7649005539075536,1.2277740824640047,0.25841434151577314,0.6489112289089514,0.4552752510663535,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y5 - y4,nat,0.23143676427822546,0.5083447073746054,-0.7649005539075536,1.2277740824640047
richness,Native,Year,2021 - 2019,-0.526540990060362,none,-1.2521016100968565,0.19901962997613243,0.13704122259798657,0.15492457893167444,-1.4223503156090032,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y4,nat,-0.526540990060362,0.3701907921572153,-1.2521016100968565,0.19901962997613243
richness,Native,Year,2021 - 2020,-0.7579777543385889,none,-1.6171337861000656,0.10117827742288776,0.19215332543347413,0.08378236749529822,-1.7291493566544907,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y5,nat,-0.7579777543385889,0.43835296900269094,-1.6171337861000656,0.10117827742288776
richness,Native,Year,2022 - 2019,0.48734545933280277,none,-0.2694138032982543,1.24410472196386,0.1490799741215035,0.20687777612935876,1.2621973664392419,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y4,nat,0.48734545933280277,0.38610875944674383,-0.2694138032982543,1.24410472196386
richness,Native,Year,2022 - 2020,0.25590869505457775,none,-0.625242102523496,1.1370594926326514,0.202117675683474,0.5692044095089166,0.569223596024918,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y5,nat,0.25590869505457775,0.44957499450422506,-0.625242102523496,1.1370594926326514
richness,Native,Year,2022 - 2021,1.0138864493931659,none,0.3689978961586997,1.658775002627632,0.10826127924435128,0.002060067727427173,3.0814330867822135,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y6,nat,1.0138864493931659,0.32903081807689577,0.3689978961586997,1.658775002627632
richness,Native forb,Grazing treatment,Grazed - Ungrazed,1.7455927324707854,none,1.2602075772833756,2.230977887658195,0.061330541305590486,1.8069989948799048e-12,7.048626952747697,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,frb,1.7455927324707854,0.24765003796807802,1.2602075772833756,2.230977887658195
richness,Native forb,Year,2020 - 2019,0.20673075253255674,none,-0.7387731771211694,1.1522346821862828,0.23271827779976123,0.6682591146448855,0.428538493339806,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y5 - y4,frb,0.20673075253255674,0.48240882848447253,-0.7387731771211694,1.1522346821862828
richness,Native forb,Year,2021 - 2019,-0.3153474302861108,none,-1.006629808740005,0.3759349481677833,0.12439839890683119,0.37127300852437894,-0.8940913659051926,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y4,frb,-0.3153474302861108,0.3527015720220583,-1.006629808740005,0.3759349481677833
richness,Native forb,Year,2021 - 2020,-0.5220781828186675,none,-1.3469380928424184,0.30278172720508356,0.17711861637018625,0.21478347097923378,-1.24051905421036,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y5,frb,-0.5220781828186675,0.4208546261717771,-1.3469380928424184,0.30278172720508356
richness,Native forb,Year,2022 - 2019,0.7676085515456902,none,0.042181792303137455,1.493035310788243,0.13699066099322763,0.03808571041522635,2.073931097917319,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y4,frb,0.7676085515456902,0.3701224945787916,0.042181792303137455,1.493035310788243
richness,Native forb,Year,2022 - 2020,0.5608777990131336,none,-0.2881953105441044,1.4099509085703716,0.18766962735342602,0.19542157327126009,1.2947062784347079,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y5,frb,0.5608777990131336,0.43320852640896396,-0.2881953105441044,1.4099509085703716
richness,Native forb,Year,2022 - 2021,1.082955981831801,none,0.4560637155957893,1.709848248067813,0.10230329981658154,7.096164719682108e-4,3.385836507406275,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y6,frb,1.082955981831801,0.31984887027560616,0.4560637155957893,1.709848248067813
richness,Non-native,Grazing treatment,Grazed - Ungrazed,0.017296309721887455,sqrt,0.002343316853253956,0.046063054663338494,7.623918044359146e-5,0.0019248621120762088,3.101587138295225,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,non,0.1315154352990076,0.042402624667606324,0.04840781810052955,0.21462305249748567
richness,Non-native,Year,2020 - 2019,0.011578142375633002,sqrt,0.05528426035842371,3.969059430876133e-4,2.754446356893394e-4,0.09817459379285798,-1.6537683264819278,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y5 - y4,non,-0.10760177682377277,0.06506460131128206,-0.23512605206234316,0.01992249841479761
richness,Non-native,Year,2021 - 2019,0.14884917854897925,sqrt,0.22981313800393133,0.08539910005685998,1.0883894510660568e-4,6.661338147750939e-16,-8.08062798413809,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y6 - y4,non,-0.38580976989830007,0.047745023116474036,-0.4793882956476215,-0.29223124414897866
richness,Non-native,Year,2021 - 2020,0.07739968741055626,sqrt,0.15367864431129813,0.027026474754536782,1.957964637812945e-4,1.6587471807216758e-6,-4.791093599746391,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y6 - y5,non,-0.27820799307452737,0.05806774325787621,-0.39201867852348327,-0.16439730762557148
richness,Non-native,Year,2022 - 2019,0.1342084322939709,sqrt,0.21197914034518328,0.07413501329929123,1.1055308092034537e-4,2.2870594307278225e-14,-7.633076558428662,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y4,non,-0.3663446905497211,0.047994368685480134,-0.4604119246339991,-0.27227745646544305
richness,Non-native,Year,2022 - 2020,0.0669478954033935,sqrt,0.13923103335669798,0.020836656487665164,1.988216107218956e-4,9.285957173643666e-6,-4.4331654019871465,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y5,non,-0.25874291372594826,0.058365274079322176,-0.3731367488692289,-0.14434907858266766
richness,Non-native,Year,2022 - 2021,3.788893140464981e-4,sqrt,0.004113273023162826,0.010622386437810848,7.760196776477604e-5,0.648137902224843,0.4563505733281979,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y6,non,0.01946507934857955,0.04265378523931571,-0.0641348035247854,0.1030649622219445
